epoch,accuracy,loss,val_accuracy,val_loss
0,0.36120352149009705,3.1292178630828857,0.48182034492492676,2.6060943603515625
1,0.5223941802978516,2.3548214435577393,0.5838086009025574,2.1557400226593018
2,0.5834895968437195,2.0954527854919434,0.6601710915565491,1.8245965242385864
3,0.6250165104866028,1.9160763025283813,0.5144962072372437,2.7061989307403564
4,0.6553595662117004,1.7764990329742432,0.6924113035202026,1.6672707796096802
5,0.6784667372703552,1.6762242317199707,0.6318520307540894,2.012401819229126
6,0.7037526369094849,1.572733759880066,0.7176806330680847,1.584017038345337
7,0.7180394530296326,1.5044697523117065,0.7378802299499512,1.4678641557693481
8,0.7383341789245605,1.4133810997009277,0.7600206136703491,1.3986225128173828
9,0.750217854976654,1.357370376586914,0.7647338509559631,1.3415682315826416
10,0.7658119201660156,1.2886308431625366,0.7751901149749756,1.3050817251205444
11,0.7762695550918579,1.242122769355774,0.7724572420120239,1.3178296089172363
12,0.7903715372085571,1.1817798614501953,0.7945975661277771,1.2253763675689697
13,0.7987825870513916,1.1465954780578613,0.790359616279602,1.2639763355255127
14,0.8102173209190369,1.0909476280212402,0.7876663208007812,1.2494432926177979
15,0.8822325468063354,0.7371763586997986,0.8573352098464966,0.8041905760765076
16,0.9025536775588989,0.6185606122016907,0.8586422801017761,0.775527834892273
